id	title	has_explanation_evaluation	has_significance_testing	is_xai_interpretable	checked	verified	notes	Gemini	main_venue_match	Risk
zhao-iii-2025-necessary	A Necessary Step toward Faithfulness: Measuring and Improving Consistency in Free-Text Explanations	TRUE	TRUE	TRUE	✔	TRUE	"Using this idea, we adopt a simulatability-
based explanation faithfulness evaluation method. † indicates results that are significantly higher than those of the SFT model, with
p < 0.05 as determined by a two-related-sample t-test. §A.5 shows confidence intervals across training passes.
Takeaway: optimizing PEX consistency improves explanation faithfulness."		EMNLP	
wang-etal-2025-v	{V}-{SEAM}: Visual Semantic Editing and Attention Modulating for Causal Interpretability of Vision-Language Models	TRUE	TRUE	TRUE	✔	TRUE	"We systematically evaluate the im-
pact of editing each identified key attention head on the sampled GQA data. Table 18: Performance difference ∆(pp) between the attention head rescaling method and baselines. Statistical
significance is indicated with asterisks. *** indicates p < 0.001 (extremely significant)."		EMNLP	
malladi-etal-2025-explaining	Explaining Differences Between Model Pairs in Natural Language through Sample Learning	TRUE	TRUE	TRUE	✔	TRUE	Faithfulness, Simulatability. These improvements are statistically significant (paired t-test, p < 0.01)		EMNLP	
zaman-srivastava-2025-causal	A Causal Lens for Evaluating Faithfulness Metrics	TRUE	TRUE	TRUE	✔	TRUE	"Simulatability, Corrupting CoT , CC-SHAP. Sigtest:  Underlined numbers show the diagnosticity
scores that are significantly higher than 0.5 (one-sample t-test, p < 0.05). Comparison of diagnosticity scores between continuous and binary variants of CoT corruption-based
metrics using qwen-2.5-7b. Differences are statistically significant (Wilcoxon signed-rank test, p < 0.05)"		EMNLP	
liu-etal-2025-metafaith	{M}eta{F}aith: Faithful Natural Language Uncertainty Expression in {LLM}s	TRUE	TRUE	TRUE	✔	TRUE	"dataset-level faithfulness as the conditional mean faithfulness generation (cMFG) score. Overall,
Gemini-2.0-Flash with our decisiveness prompt
achieved the highest correlations of 0.665 (p =
0.000) and 0.643 (p = 0.000), respectively, con-
firming the quality of our LLM-based decisiveness
scores. In contrast, use of the original decisive-
ness scoring setup in Yona et al. (2024) achieved
correlations of only 0.210 (p = 0.000) and 0.063
(p = 0.03), respectively. Our final scoring paradigm yielded the highest Pearson and Spearman correlations of 0.680 (p = 0.000) and 0.663 (p = 0.000), respectively, and the lowest MSE of 0.635, "		EMNLP	
duan-etal-2025-unveiling	Unveiling Language Competence Neurons: A Psycholinguistic Approach to Model Interpretability	TRUE	TRUE	TRUE	✔	TRUE	4.1 Human Response Replication, t-tests, z-test Comparing human participants' binary choices (e.g., assigning round vs. spiky shapes, or female vs. male gender) against a baseline or between conditions.		COLING	
patel-etal-2025-retrieve	Retrieve to Explain: Evidence-driven Predictions for Explainable Drug Target Identification	TRUE	TRUE	TRUE	✔	TRUE	Relative Success, Z test		ACL	
gur-arieh-etal-2025-enhancing	Enhancing Automated Interpretability with Output-Centric Feature Descriptions	TRUE	TRUE	TRUE	✔	TRUE	" 95% confidence interval, Due to the small sample
size of features, we used bootstrap (9999 resamples of the data with replacements, 95% confidence"		ACL	
azarkhalili-libbrecht-2025-generalized	Generalized Attention Flow: Feature Attribution for Transformer Models via Maximum Flow	TRUE	TRUE	TRUE	✔	TRUE	"AOPC, LogOdds. In this research, we conduct 500 independent runs for each method to perform comprehensive statistical tests, comparing the AOPC and LOdds metrics of our top-performing proposed method, AGF, against the top benchmark methods listed in Tab. 1 and Tab. 2, using τ = 0.5. As shown in
Tab. 4 and Tab. 5, the AGF method consistently
outperforms these benchmark techniques across all
datasets, except for the Yelp dataset."		ACL	
li-etal-2025-decoding	Decoding Knowledge Attribution in Mixture-of-Experts: A Framework of Basic-Refinement Collaboration and Efficiency Analysis	TRUE	TRUE	TRUE	✔	TRUE	"Attributing Model component in MoE, Semantic-Driven Attention Head and
Expert Selection Mechanism. 
semantic-driven routing is validated through strong
temporal correlations between attention heads and
expert selection (r = 0.68, p < 0.0014), indicat-
ing that attention mechanisms guide experts toward
task-relevant features."		ACL	
ghosh-etal-2025-just	Just a Scratch: Enhancing {LLM} Capabilities for Self-harm Detection through Intent Differentiation and Emoji Interpretation	TRUE	TRUE	TRUE	✔	TRUE	"SHC (Self-harm Classification), CMSE
(Casual Mention Span Extraction), SISE (Serious Intent Span Extraction), RG (Rationale Generation). We conducted statistical evaluations compar-
ing SHC with CESM-100 to its ablated counter-
part (without CESM-100) across Llama, Mental-
Alpaca, and Mental-Llama configurations. Paired
t-tests (Dietterich, 1998) were chosen over Hoeffd-
ing inequality (Hoeffding, 1994) because the ag-
gregated F1 scores are derived from non-i.i.d. data,
making paired t-tests more suitable for capturing
dependent relationships across runs. Results from
10 runs confirmed statistically significant F1 im-
provements, with p-values below 0.05 (e.g., Llama:
p = 0.0198, Mental-Alpaca: p = 0.017, Mental-
Llama: p = 0.009). For other setups, our proposed
multitask model demonstrated substantial improve-
ments: +12% F1 over zero-shot, +7% F1 over few-
shot, and +4% F1 over fine-tuned setups (averaged
across models)"		ACL	
douglas-etal-2025-less	Less is More: Explainable and Efficient {ICD} Code Prediction with Clinical Entities	TRUE	TRUE	TRUE	✔	TRUE	5.5 Evidence Extraction Results, Table 7 performance evaluation have significant testing but table 8 and 10 are not.		ACL	High Risk Domain
guerreiro-etal-2024-xcomet	x{COMET}: Transparent Machine Translation Evaluation through Fine-grained Error Detection	TRUE	TRUE	TRUE	✔	TRUE	 top-performing cluster according to statistical significance (p < 0.05).		TACL	
erk-apidianaki-2024-adjusting	Adjusting Interpretable Dimensions in Embedding Space with Human Judgments	TRUE	TRUE	TRUE	✔	TRUE	We tested correlation between the three metrics on seed-based dimensions for the Grand et al. (2022) data and obtained highly significant correlations (p ≪ 0.0001, r = 0.972 for pairwise rank accuracy, r = 0.971 for extended pairwise rank accuracy).		NAACL	
zhao-aletras-2024-comparing	Comparing Explanation Faithfulness between Multilingual and Monolingual Fine-tuned Language Models	TRUE	TRUE	TRUE	✔	TRUE	Table 10: Suff and Comp difference between multilingual BERT (mBERT) and monolingual BERT. Contain p-values of Faithfulness disparity on FAs and languages, but does not mention what statistical testing		NAACL	
vasileiou-eberle-2024-explaining	Explaining Text Similarity in Transformer Models	TRUE	TRUE	TRUE	✔	TRUE	"4.3 Evaluation of Explanations, Interaction Analysis, Perturbation Analysis. Appendix B Perturbation details We further test if BiLRP AUPC scores
are significantly lower than any of the other com-
parison methods and find this to be the case with
p ≤ 0.05 for all investigated models and datasets."		NAACL	
li-chaturvedi-2024-rationale	Rationale-based Opinion Summarization	TRUE	TRUE	TRUE	✔	TRUE	"We evaluate the extracted rationales using auto-
matic (§5.4.1) and human measures (§5.4.2). Table 3: Human evaluation of rationales generated by
RATION and InstructGPT. Bold indicates significant differences (p<0.05, paired bootstrap resampling)."		NAACL	
brandl-etal-2024-evaluating	Evaluating Webcam-based Gaze Data as an Alternative for Human Rationale Annotations	TRUE	TRUE	TRUE	✔	TRUE	"Figure 5 and 10: Comparison of gaze-based and rationale-
based ranking of explanation methods for English
(EN), Spanish (ES), and German (DE) – top to bot-
tom. Ranks 1 to 5 indicate model explanations most
to least aligned with human importance scores.
Spearman rank correlation rs at p ≤ 0.01 (∗∗),
p ≤ 0.05 (∗), or not significant (ns). Results are
based on text samples filtered by correct human
answers."		COLING	
zhou-etal-2024-explaining	Explaining Pre-Trained Language Models with Attribution Scores: An Analysis in Low-Resource Settings	TRUE	TRUE	TRUE	✔	TRUE	"Table 3: Plausibility (the higher the better) and
faithfulness (the lower the better. Figure 4 and Figure 5 NS stands for the no significant difference.
*, **, *** stand for p-value <.05, .01 and .001."		COLING	
kamp-etal-2024-role	The Role of Syntactic Span Preferences in Post-Hoc Explanation Disagreement	TRUE	TRUE	TRUE	✔	TRUE	"The tests confirm our initial observations
that most distributions from one group are significantly different from the other group (25/36 pairs, with p < .05) and that no significant differences are found within groups. Table 6: Chi-Square test results for comparing different methods on their preference for stop words, punctuation and POS. Asterisk (*) indicates statistical significance at the 0.05 level. A dark background visually highlights the hypothesised Group 1 – Group 2 comparisons."		COLING	
zhao-etal-2024-successfully	Successfully Guiding Humans with Imperfect Instructions by Highlighting Potential Errors and Suggesting Corrections	TRUE	TRUE	TRUE	✔	TRUE	1 Intrinsic Evaluation: Hallucination Detection and Correction Suggestion. Table 2: User subjective ratings of systems after completing navigation sessions.  (Bonferroni correction for 12 tests comparing 4 systems with “No communication”) and p < 0.05, respectively, as determined by a two-related-sample t-test.		EMNLP	
buchmann-etal-2024-attribute	Attribute or Abstain: Large Language Models as Long Document Assistants	TRUE	TRUE	TRUE	✔	TRUE	"Table 5: Pearson correlation between response quality and position of annotated evidence. * indicates significance
(p < 0.05). Table 6: System-level Pearson correlation between response quality and evidence quality for citation and reduced-citation (8 score pairs per dataset). For Avg, correlation was computed over the average scores (right most columns in Table 3)."		EMNLP	
saenger-etal-2024-autopersuade	{A}uto{P}ersuade: A Framework for Evaluating and Explaining Persuasive Arguments	TRUE	TRUE	TRUE	✔	TRUE	Estimated effects of discovered latent topics with 95% CI. Table 2: Results of Validation Study 1, 2, and 3. For each study, win rates are calculated as the share of com- parisons with arguments of other origins that are won. Confidence intervals are calculated based on 500 bootstraps of the individual comparison outcomes. Table 4: Summary statistics of the causal effect estimation of the different topics discovered in the analysis of arguments for veganism and inferred using CVXPY.		EMNLP	
neo-etal-2024-interpreting	Interpreting Context Look-ups in Transformers: Investigating Attention-{MLP} Interactions	TRUE	TRUE	TRUE	✔	TRUE	Verification by Head Ablation Applying a two-sample Kolmogorov-Smirnov test to ascertain the differences in their distributions		EMNLP	
suresh-etal-2024-relative	It{'}s All Relative: Learning Interpretable Models for Scoring Subjective Bias in Documents from Pairwise Comparisons	TRUE	TRUE	TRUE	✔	TRUE	"Figure 1: Bias score of Heritability of IQ over time.
Wikipedia ORES article quality scores are plotted for comparison. Spearman correlation: -0.27, p-value 0.008. Figure 2: Average bias score and ORES score of articles over time. The dark lines are the scores and the shaded area indicates the 95% confidence interval."		EACL	
pastor-etal-2024-explaining	Explaining Speech Classification Models via Word-Level Audio Segments and Paralinguistic Features	TRUE	TRUE	TRUE	✔	TRUE	Paralinguistic Attribution, 4.2 Quantitative Faithfulness Evaluation, 5. Plausibility User Study, Appendix: Table 8 user study visualization, Table 9 and 10 support table 8 statistical testing 		EACL	
calabrese-etal-2024-explainability	Explainability and Hate Speech: Structured Explanations Make Social Media Moderators Faster	TRUE	TRUE	TRUE	✔	TRUE	We tested whether the explanations have a significant effect by testing whether the difference between the likelihood of these two models is significant using ANOVA. We used a z-test to compare individual performances across the settings (Figure 3). 		ACL	
jiang-etal-2024-rora	{RORA}: Robust Free-Text Rationale Evaluation	TRUE	TRUE	TRUE	✔	TRUE	"Human Evaluation We conduct a human evalua-
tion for free-text rationales on Amazon Mechanical
Turk. Figure 2 provide linear regression and 95% CI"		ACL	
schimanski-etal-2024-towards	Towards Faithful and Robust {LLM} Specialists for Evidence-Based Question-Answering	TRUE	TRUE	TRUE	✔	TRUE	"Table 2: Statistical significance of performance dif-
ference with different trainsets. We conduct Mann-Whitney U test on different settings and use Fisher’s method to merge corresponding p-values (see details in Appendix I). Table 4: Pearson Correlation between our Attributability
Score, Human Annotation, and GPT-4 Annotation. By ∗∗, we denote a p-value smaller than 0.001."		ACL	
slobodkin-etal-2024-attribute	Attribute First, then Generate: Locally-attributable Grounded Text Generation	TRUE	TRUE	TRUE	✔	TRUE	Table A.2: Average Kendall-Tau and Spearman’s rank correlations (τ ) and their 95% confidence intervals (CI) for tested evaluation metrics against human judgment. CI Found in Appendix		ACL	
ch-wang-etal-2023-sociocultural	Sociocultural Norm Similarities and Differences via Situational Alignment and Explainable Textual Entailment	TRUE	TRUE	TRUE	✔	TRUE	we measure the correlation strength between the probability of a situation belonging to a given topic against how likely norms will contradict for that given situation.		EMNLP	
attanasio-etal-2023-tale	A Tale of Pronouns: Interpretability Informs Gender Bias Mitigation for Fairer Instruction-Tuned Machine Translation	TRUE	TRUE	TRUE	✔	TRUE	Table 5. The p-values in this paper are primarily related to performance and utility evaluation. Table 7: Flan-T5 and Flan-T5Few-Shot ∆G performance across professions in En-Es and their difference (∆) but no statistical significant		EMNLP	
wang-etal-2023-goal	Goal-Driven Explainable Clustering via Language Descriptions	TRUE	TRUE	TRUE	✔	TRUE	5.3 Quantitative Evaluation, Explanation accuracy, Relevance, Coverage and Overlap. Table 5: How often is PAS ’s explanations are more relevant compared to the baselines with P-value		EMNLP	
briakou-etal-2023-explaining	Explaining with Contrastive Phrasal Highlighting: A Case Study in Assisting Humans to Detect Translation Differences	TRUE	TRUE	TRUE	✔	TRUE	"Proxy Evaluation we compute: 1. Agreement with Human Rationales: Precision, Recall, and F-1 scores
computed against human rationales; 2. Minimal-
ity: the length of the contrastive phrasal highlights,
measured as the number of highlighted tokens. Case Study 5 For the application-
grounded evaluation I, which contains a total of 150 annotations per language, the significance level is p = 0.1. Case Study 6: For this study, which
contains a total of 250 annotations, the significance level is p = 0.05."		EMNLP	
menon-etal-2023-mantle	{M}a{N}t{LE}: Model-agnostic Natural Language Explainer	TRUE	TRUE	TRUE	✔	TRUE	"Table 3: Faithfulness and simulatability when executing different explanations for three datasets. Results are from 100 runs but there are confidence intervals or significant test performed. Human eval Results in Fig. 5 indicate that workers struggled
to comprehend attribution scores from LIME com-
pared to MaNtLE. A paired-sample t-test for over-
all preference revealed significance (2.16 vs. 3.44;
p-value < 0.001). "		EMNLP	
fanconi-etal-2023-reads	This Reads Like That: Deep Learning for Interpretable Natural Language Processing	TRUE	TRUE	TRUE	✔	TRUE	Table 3: Comprehensiveness (Comp.), Sufficiency (Suff.), and Accuracy results on the movie review dataset, including bootstrapped 95% confidence intervals of the test set in gray.		EMNLP	
rashkin-etal-2023-measuring	Measuring Attribution in Natural Language Generation Models	TRUE	TRUE	TRUE	✔	TRUE	Table 3-5		Computational Linguistics (CL)	
zhao-aletras-2023-incorporating	Incorporating Attribution Importance for Improving Faithfulness Metrics	TRUE	TRUE	TRUE	✔	TRUE	"Table 2. denotes a significant difference compared to its counterpart on the same FA, p < .01.and Table 3. denotes a significant difference compared to
its counterpart on the same task, p < .01."		ACL	
tang-etal-2023-daam	What the {DAAM}: Interpreting Stable Diffusion Using Cross Attention	TRUE	TRUE	TRUE	✔	TRUE	"Table 2: Head–dependent DAAM map overlap statistics across the ten most common relations in COCO. Bolded are the dominant maps, where the absolute difference ∆ between mIoD and mIoH exceeds 10 points. All bolded numbers are statistically significant (p < 0.01), with the
Holm–Bonferroni correction applied."		ACL	
huang-etal-2023-zero	Zero-shot Faithful Factual Error Correction	TRUE	TRUE	TRUE	✔	TRUE	Table 1. contain statistical significant test. Table 4: Correlation between automatic metrics and human judgments on the FEVER and SCIFACT datasets computed using Kendall’s Tau.		ACL	
singh-etal-2023-peeking	Peeking inside the black box: A Commonsense-aware Generative Framework for Explainable Complaint Detection	TRUE	TRUE	TRUE	✔	TRUE	Table 2: Results of the ablation studies performed on the proposed framework, C2D’s key components in terms of macro-F1 score (F1) and Accuracy (A) values. The maximum scores attained are represented by bold-faced values. The † denotes statistically significant findings.		ACL	
yang-etal-2023-efficient	Efficient Shapley Values Estimation by Amortization for Text Classification	TRUE	TRUE	TRUE	✔	TRUE	"For Yelp-Polarity, R = −0.41 and p < 0.05, so the correlation is not significant)." Why Is it not significant? Is it a typo		ACL	
du-etal-2023-generalizing	Generalizing Backpropagation for Gradient-Based Interpretability	TRUE	TRUE	TRUE	✔	TRUE	"evaluation subject–verb number
agreement probing task. Figure 7: spearman rank correlation and its p-value"		ACL	
storek-etal-2023-unsupervised	Unsupervised Selective Rationalization with Noise Injection	TRUE	TRUE	TRUE	✔	TRUE	"Again, our noise injection training strategy
achieves statistically significant improvements in
rationale alignment with human annotations (p <
0.01 on the MultiRC and USR Movies, p < 0.05
on the FEVER, and p < 0.1 on ERASER Movies)"		ACL	
liscio-etal-2023-text	What does a Text Classifier Learn about Morality? An Explainable Method for Cross-Domain Comparison of Moral Rhetoric	TRUE	TRUE	TRUE	✔	TRUE	 evaluate the method via a crowd study, a series of cross-domain moral classification comparisons. They perform statistics test, shapiro-wilk test for normality diagnostic only. But do not report rank correlation p-value. Probably because it is average rank correlation		ACL	
dziri-etal-2022-faithdial	{F}aith{D}ial: A Faithful Benchmark for Information-Seeking Dialogue	TRUE	TRUE	TRUE	✔	TRUE	"Table 7: Human evaluation on 1600 generated FAITH DIAL responses (200 × 8) from different models on the test data. ∗ and ∗∗ indicates that the results are significantly different from the best result in
that column (bolded) with p-value < 0.05, < 0.01 respectively. ‘Coop.’, ‘Abst.’, and ‘Enga.’ means
cooperativeness, abstractiveness, and engagingness, respectively."		TACL	
modarressi-etal-2022-globenc	{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers	TRUE	TRUE	TRUE	✔	TRUE	"Spearman’s rank correlation of attribution based importance (aggregated by rollout). Figure 3. The
99% confidence intervals are shown as (narrow) shaded areas around each line."		NAACL	
sridhar-yang-2022-explaining	Explaining Toxic Text via Knowledge Enhanced Text Generation	TRUE	TRUE	TRUE	✔	TRUE	text explanation generation. Measures the explanation with text generation metric ROUGE or BERTSCore. Statistical significant test on this text generation metrics using Wilcoxon’s signed rank test (Table 3 and Table 4)		NAACL	
yin-neubig-2022-interpreting	Interpreting Language Models with Contrastive Explanations	TRUE	TRUE	TRUE	✔	TRUE	Statistically significant Pearson’s r values (p < 0.05) are in bold. imulation accuracy (%) in predicting GPT-2 outputs and subjective usefulness of explanations for various explanation methods.		EMNLP	
zaman-belinkov-2022-multilingual	A Multilingual Perspective Towards the Evaluation of Attribution Methods in Natural Language Inference	TRUE	TRUE	TRUE	✔	TRUE	Average correlations measured, they report for one 		EMNLP	
chemmengath-etal-2022-cat	Let the {CAT} out of the bag: Contrastive Attributed explanations for Text	TRUE	TRUE	TRUE	✔	TRUE	Table 4. We evaluate CAT on three metrics: i) Dist(distance), ii) Fluency, iii) Cont (content preservation). We report p-values from a pairwise t-test of the difference of means between GYC with CAT and MICE with CAT for all metrics.		EMNLP	
ross-etal-2022-self	Does Self-Rationalization Improve Robustness to Spurious Correlations?	TRUE	TRUE	TRUE	✔	TRUE	Table 1. Features found to have statistically significant correlations with labels in training datasets		EMNLP	
jain-etal-2022-extending	Extending Logic Explained Networks to Text Classification	TRUE	TRUE	TRUE	✔	TRUE	Plausibility, Human Survey, calculate 95% CI in Figure 3		EMNLP	
aglionby-teufel-2022-faithful	Faithful Knowledge Graph Explanations in Commonsense Question Answering	TRUE	TRUE	TRUE	✔	TRUE	"Use GraphMask. When both ablations are applied,
three of the four models have a significant differ-
ence in accuracy between the regular and shuffled
scenarios (p < 0.001), and the shuffled performance is at or below random chance."		EMNLP	
shen-etal-2022-shortest	Are Shortest Rationales the Best Explanations for Human Understanding?	TRUE	TRUE	TRUE	✔	TRUE	"4.2 Results: There is a significant difference in human predicted labels (i.e., “positive”=1,“negative”=2) be-
tween LimitedInk (M=1.24,SD=0.71) and Random (M=1.32,SD=0.54); t(1169)=2.27, p=0.02."		ACL	
tolkachev-etal-2022-counterfactual	Counterfactual Explanations for Natural Language Interfaces	TRUE	TRUE	TRUE	✔	TRUE	Correctness of Explanations and Usefulness of Explanations. Confidence intervals (indicated by ± values in Table 1.		ACL	
yin-etal-2022-sensitivity	On the Sensitivity and Stability of Model Interpretations in {NLP}	TRUE	TRUE	TRUE	✔	TRUE	Appendix I. We use Student’s t test to exam the superior performance of the best robustness-based methods against previous methods. The double checkmark represents a confidence level of 95% and a single checkmark for a confidence level of 90%. Result in Table 10 and 11		ACL	
kaneko-etal-2022-interpretability	Interpretability for Language Learners Using Example-Based Grammatical Error Correction	TRUE	TRUE	TRUE	✔	TRUE	Table 1: Human evaluation score. The † and ‡ indicate statistically significant differences of EB-GEC according to McNemar’s test (p < 0.05) against Token-based retrieval and BERT-based retrieval, respectively.		ACL	
mosca-etal-2022-suspicious	``That Is a Suspicious Reaction!'': Interpreting Logits Variation to Detect {NLP} Adversarial Attacks	TRUE	TRUE	TRUE	✔	TRUE	logits-based metric called Word-level Differential Reaction (WDR). Table 3: 95% CI  we average the performance across 30 different data-splits of the training configuration. Additionally, we report the corresponding 95% confidence intervals.		ACL	
pham-etal-2022-double	Double Trouble: How to not Explain a Text Classifier{'}s Decisions Using Counterfactuals Synthesized by Masked Language Models?	TRUE	TRUE	TRUE	✔	TRUE	Table2. ROAR. 2-sample t-test; p = 0.037		AACL/IJCNLP	
elazar-etal-2021-amnesic	Amnesic Probing: Behavioral Explanation with Amnesic Counterfactuals	TRUE	TRUE	TRUE	✔	TRUE	Finally, the probe accuracy does not correlate with task importance as measured by our method (Spearman correlation of 8.5, with a p-value of 0.871).		TACL	
lamm-etal-2021-qed	{QED}: A Framework and Dataset for Explanations in Question Answering	TRUE	TRUE	TRUE	✔	TRUE	"Rater Study.5.3 Effectiveness of explanations. log-odds of rater accuracy by 0.25,
with a posterior predictive p-value of 0.015"		TACL	
saha-etal-2021-multiprover	multi{PR}over: Generating Multiple Proofs for Improved Interpretability in Rule Reasoning	TRUE	TRUE	TRUE	✔	TRUE	Test model performance improvement statistical significant. Proof F1 measures the overlap between the generated proof nodes/edges and the ground truth explanation. Iterative-MultiPRover’s improvement in Full Accuracy over Multilabel-MultiPRover is statistically significant with p < 0.001"		NAACL	
doogan-buntine-2021-topic	Topic Model or Topic Twaddle? Re-evaluating Semantic Interpretability Measures	TRUE	TRUE	TRUE	✔	TRUE	"Topic Model Interpretability. We measure the strength of the association between
variables using Pearson’s r correlation coefficient
in evaluation 1 (see section 4.1) and Spearman’s ρ
correlation coefficient in evaluations 2–5. "		NAACL	
rajagopal-etal-2021-selfexplain	{SELFEXPLAIN}: A Self-Explaining Architecture for Neural Text Classifiers	TRUE	TRUE	TRUE	✔	TRUE	"Evaluate plausibility by 14 human judges on 50 annotated samples from SST2 validation set: Adequate Justification, Understandability, and trustability. They computed the
SELFEXPLAIN-XLNet classifier’s accuracy on the
same input and the accuracy dropped and test the performance dropped Statistically significant by Wilson interval test (type of faithfulness significant test)."		EMNLP	
situ-etal-2021-lifelong	Lifelong Explainer for Lifelong Learners	TRUE	TRUE	TRUE	✔	TRUE	Faithfulness, stability, Log-odds evaluation. Footnote 5. 5We use paired t-test with Holm-Bonferroni correction (Holm, 1979) in all our significance tests, with α < 0.05.		EMNLP	
ye-etal-2021-connecting	Connecting Attributions and {QA} Model Behavior on Realistic Counterfactuals	TRUE	TRUE	TRUE	✔	TRUE	"Table 2. Explanation evaluation using simulation accuracy. We perform significance tests on accuracy
via bootstrap resampling for the comparisons between LATATTR and other approaches. A dagger indicates a method for which our approach outperforms it by a statistically significant margin (p < 0.05)."		EMNLP	
jayaram-allaway-2021-human	Human Rationales as Attribution Priors for Explainable Stance Detection	TRUE	TRUE	TRUE	✔	TRUE	" Human quality judgements of model rationales and comparison with oracle attributions. Table 8: √λLp for MAW and GI on the VAST test set, with λ = 16384 for all settings. * indicates statistical
significance (p < .05). "		EMNLP	
fern-pope-2021-text	Text Counterfactuals via Latent Optimization and {S}hapley-Guided Search	TRUE	TRUE	TRUE	✔	TRUE	Failure rate (%F), Fraction of tokens changed (%C), Human and Qualitative Evaluation. Human evaluators ranked CLOSS competitively with BERT-Attack and Hot-Flip, assigning average ranks of 1.54 to CLOSS, 1.68 to Bert-Attack and 2.50 to HotFlip. The difference between CLOSS and HotFlip is statistically significant (one-sided sign test, p-value< 0.0001).		EMNLP	
