id,title,has_explanation_evaluation,has_significance_testing,is_xai_interpretable,main_venue_match
rahimi-etal-2025-lost,Not Lost After All: How Cross-Encoder Attribution Challenges Position Bias Assumptions in {LLM} Summarization,False,False,False,Findings
zeng-etal-2025-residualized,Residualized Similarity for Faithfully Explainable Authorship Verification,True,False,True,Findings
islam-goldwasser-2025-post,Post-hoc Study of Climate Microtargeting on Social Media Ads with {LLM}s: Thematic Insights and Fairness Evaluation,True,False,True,Findings
wang-etal-2025-inducing,Inducing Argument Facets for Faithful Opinion Summarization,False,False,False,Findings
yu-etal-2025-explainable,Explainable Chain-of-Thought Reasoning: An Empirical Analysis on State-Aware Reasoning Dynamics,False,False,True,Findings
long-etal-2025-finlfqa,{F}in{LFQA}: Evaluating Attributed Text Generation of {LLM}s in Financial Long-Form Question Answering,True,False,True,Findings
sengupta-etal-2025-investigating,Investigating the Impact of Conceptual Metaphors on {LLM}-based {NLI} through Shapley Interactions,True,False,True,Findings
sicilia-alikhani-2025-adaptive,Adaptive {P}latt Scaling with Causal Interpretations for Self-Reflective Language Model Uncertainty Estimates,False,False,True,Findings
li-etal-2025-treble,Treble Counterfactual {VLM}s: A Causal Approach to Hallucination,True,False,True,Findings
han-etal-2025-attributes,Attributes as Textual Genes: Leveraging {LLM}s as Genetic Algorithm Simulators for Conditional Synthetic Data Generation,False,False,False,Findings
seo-kwon-2025-protoxtm,{P}roto{XTM}: Cross-Lingual Topic Modeling with Document-Level Prototype-based Contrastive Learning,False,False,True,Findings
guimaraes-etal-2025-narratex,{N}arrat{EX} Dataset: Explaining the Dominant Narratives in News Texts,False,False,True,Findings
yu-etal-2025-lore,{LORE}: Continual Logit Rewriting Fosters Faithful Generation,False,False,False,Findings
ha-etal-2025-mv,{MV}-{CLAM}: Multi-View Molecular Interpretation with Cross-Modal Projection via Language Model,False,False,False,Findings
pauli-etal-2025-mind,Mind the Style Gap: Meta-Evaluation of Style and Attribute Transfer Metrics,False,False,False,Findings
liu-chu-2025-llms,Do {LLM}s Align Human Values Regarding Social Biases? Judging and Explaining Social Biases with {LLM}s,True,False,True,Findings
ou-etal-2025-claimcheck,{CLAIMCHECK}: How Grounded are {LLM} Critiques of Scientific Papers?,False,False,False,Findings
joshi-etal-2025-improving,Improving Language Model Personas via Rationalization with Psychological Scaffolds,False,False,True,Findings
mamta-cocarascu-2025-guard,{I}-{GUARD}: Interpretability-Guided Parameter Optimization for Adversarial Defense,False,False,True,Findings
fedorova-etal-2025-explaining,Explaining novel senses using definition generation with open language models,False,False,True,Findings
wu-etal-2025-evaluating,Evaluating Fairness in Large Vision-Language Models Across Diverse Demographic Attributes and Prompts,False,False,False,Findings
han-etal-2025-black,No Black Boxes: Interpretable and Interactable Predictive Healthcare with Knowledge-Enhanced Agentic Causal Discovery,False,False,True,Findings
oozeer-etal-2025-beyond,Beyond Linear Steering: Unified Multi-Attribute Control for Language Models,False,False,False,Findings
cheng-etal-2025-mitigating,Mitigating Spurious Correlations via Counterfactual Contrastive Learning,True,False,True,Findings
hasanain-etal-2025-propxplain,{P}rop{X}plain: Can {LLM}s Enable Explainable Propaganda Detection?,False,False,True,Findings
bao-etal-2025-whos,Who{'}s the Author? How Explanations Impact User Reliance in {AI}-Assisted Authorship Attribution,True,False,True,Findings
ding-etal-2025-attention,Attention with Dependency Parsing Augmentation for Fine-Grained Attribution,True,False,True,Findings
gebreegziabher-etal-2025-leveraging,Leveraging Variation Theory in Counterfactual Data Augmentation for Optimized Active Learning,False,False,False,Findings
wang-etal-2025-fitcf,{F}it{CF}: A Framework for Automatic Feature Importance-guided Counterfactual Example Generation,True,False,True,Findings
wu-etal-2025-separate,Separate the Wheat from the Chaff: A Post-Hoc Approach to Safety Re-Alignment for Fine-Tuned Language Models,False,False,False,Findings
weidinger-etal-2025-aquaechr,{AQ}u{AECHR}: Attributed Question Answering for {E}uropean Court of Human Rights,False,False,False,Findings
chen-etal-2025-explainable,Explainable Hallucination through Natural Language Inference Mapping,False,False,True,Findings
chu-etal-2025-self,Self-Critique Guided Iterative Reasoning for Multi-hop Question Answering,False,False,False,Findings
zhou-etal-2025-reasoning,Reasoning is All You Need for Video Generalization: A Counterfactual Benchmark with Sub-question Evaluation,False,False,False,Findings
maiya-etal-2025-explaining,Explaining Puzzle Solutions in Natural Language: An Exploratory Study on 6x6 Sudoku,True,False,True,Findings
yang-etal-2025-longfaith,{L}ong{F}aith: Enhancing Long-Context Reasoning in {LLM}s with Faithful Synthetic Data,False,False,False,Findings
chu-etal-2025-domaino1s,Domain$o1$s: Guiding {LLM} Reasoning for Explainable Answers in High-Stakes Domains,True,False,True,Findings
long-etal-2025-beyond,Beyond In-Context Learning: Aligning Long-form Generation of Large Language Models via Task-Inherent Attribute Guidelines,False,False,False,Findings
bevendorff-etal-2025-two,The Two Paradigms of {LLM} Detection: Authorship Attribution vs. Authorship Verification,False,False,False,Findings
xiao-etal-2025-tokenshapley,{T}oken{S}hapley: Token Level Context Attribution with Shapley Value,True,False,True,Findings
chetia-phukan-etal-2025-investigating,Investigating Prosodic Signatures via Speech Pre-Trained Models for Audio Deepfake Source Attribution,False,False,False,Findings
jia-etal-2025-bridging,Bridging Relevance and Reasoning: Rationale Distillation in Retrieval-Augmented Generation,True,False,True,Findings
saxena-etal-2025-matched,{MATCHED}: Multimodal Authorship-Attribution To Combat Human Trafficking in Escort-Advertisement Data,False,False,False,Findings
rodriguez-etal-2025-continued,Continued Pretraining and Interpretability-Based Evaluation for Low-Resource Languages: A {G}alician Case Study,False,False,False,Findings
li-etal-2025-investigating,Investigating Context Faithfulness in Large Language Models: The Roles of Memory Strength and Evidence Style,True,False,True,Findings
huangyw-etal-2025-dynamic,Dynamic Attention-Guided Context Decoding for Mitigating Context Faithfulness Hallucinations in Large Language Models,True,False,True,Findings
zhao-etal-2025-correcting,Correcting on Graph: Faithful Semantic Parsing over Knowledge Graphs with Large Language Models,False,False,False,Findings
zhu-etal-2025-rationales,Rationales Are Not Silver Bullets: Measuring the Impact of Rationales on Model Performance and Reliability,True,False,True,Findings
fu-etal-2025-mark,{MARK}: Multi-agent Collaboration with Ranking Guidance for Text-attributed Graph Clustering,False,False,False,Findings
fan-etal-2025-sek,{SEK}: Self-Explained Keywords Empower Large Language Models for Code Generation,False,False,True,Findings
jiang-etal-2025-towards-explainable,Towards Explainable Temporal Reasoning in Large Language Models: A Structure-Aware Generative Framework,True,False,True,Findings
ping-etal-2025-longdpo,{L}ong{DPO}: Unlock Better Long-form Generation Abilities for {LLM}s via Critique-augmented Stepwise Information,False,False,False,Findings
sui-etal-2025-fidelis,{F}i{D}e{L}i{S}: Faithful Reasoning in Large Language Models for Knowledge Graph Question Answering,True,False,True,Findings
zhu-etal-2025-lime,{LIME}: Less Is More for {MLLM} Evaluation,False,False,False,Findings
li-etal-2025-cmie,{CMIE}: Combining {MLLM} Insights with External Evidence for Explainable Out-of-Context Misinformation Detection,False,False,True,Findings
zhang-etal-2025-explainable,Explainable Depression Detection in Clinical Interviews with Personalized Retrieval-Augmented Generation,False,False,True,Findings
kim-etal-2025-reasoning,Reasoning Circuits in Language Models: A Mechanistic Interpretation of Syllogistic Inference,True,False,True,Findings
bi-etal-2025-context,Context-{DPO}: Aligning Language Models for Context-Faithfulness,True,False,True,Findings
li-etal-2025-towards-better,Towards Better Chain-of-Thought: A Reflection on Effectiveness and Faithfulness,True,False,True,Findings
hong-etal-2025-rhetorical,Rhetorical Device-Aware Sarcasm Detection with Counterfactual Data Augmentation,False,False,False,Findings
wu-etal-2025-boosting,Boosting {LLM} Translation Skills without General Ability Loss via Rationale Distillation,False,False,False,Findings
sariyanto-etal-2025-towards,Towards Explainable Hate Speech Detection,False,False,True,Findings
tak-etal-2025-mechanistic,Mechanistic Interpretability of Emotion Inference in Large Language Models,True,False,True,Findings
chen-etal-2025-cod,"{C}o{D}, Towards an Interpretable Medical Agent using Chain of Diagnosis",False,False,True,Findings
wang-etal-2025-ldir,{LDIR}: Low-Dimensional Dense and Interpretable Text Embeddings with Relative Representations,False,False,True,Findings
zhong-etal-2025-nargina,{N}ar{GINA}: Towards Accurate and Interpretable Children{'}s Narrative Ability Assessment via Narrative Graphs,False,False,True,Findings
im-etal-2025-deragec,{D}e{RAGEC}: Denoising Named Entity Candidates with Synthetic Rationale for {ASR} Error Correction,False,False,False,Findings
paci-etal-2025-want,They want to pretend not to understand: The Limits of Current {LLM}s in Interpreting Implicit Content of Political Discourse,True,False,True,Findings
saparina-lapata-2025-disambiguate,"Disambiguate First, Parse Later: Generating Interpretations for Ambiguity Resolution in Semantic Parsing",False,False,False,Findings
beckh-etal-2025-anatomy,The Anatomy of Evidence: An Investigation Into Explainable {ICD} Coding,True,False,True,Findings
li-etal-2025-generate,"Generate, Discriminate, Evolve: Enhancing Context Faithfulness via Fine-Grained Sentence-Level Self-Evolution",True,False,True,Findings
salemi-etal-2025-expert,{E}x{P}er{T}: Effective and Explainable Evaluation of Personalized Long-Form Text Generation,True,False,True,Findings
tan-etal-2025-open,Open-World Authorship Attribution,False,False,False,Findings
shen-etal-2025-transparentize,Transparentize the Internal and External Knowledge Utilization in {LLM}s with Trustworthy Citation,True,False,True,Findings
zahid-etal-2025-bedaa,{BEDAA}: {B}ayesian Enhanced {D}e{BERT}a for Uncertainty-Aware Authorship Attribution,False,False,True,Findings
saynova-etal-2025-fact,"Fact Recall, Heuristics or Pure Guesswork? Precise Interpretations of Language Models for Fact Completion",True,False,True,Findings
zhang-etal-2025-safety,Safety is Not Only About Refusal: Reasoning-Enhanced Fine-tuning for Interpretable {LLM} Safety,False,False,True,Findings
aljanaideh-2025-speech,Speech Act Patterns for Improving Generalizability of Explainable Politeness Detection Models,False,False,True,Findings
kim-etal-2025-fave,{F}a{V}e: Factored and Verified Search Rationale for Long-form Answer,False,False,False,Findings
lv-etal-2025-distribution,Out-of-Distribution Detection via {LLM}-Guided Outlier Generation for Text-attributed Graph,False,False,False,Findings
hong-etal-2025-data,Data Interpreter: An {LLM} Agent for Data Science,False,False,False,Findings
jang-etal-2025-verbosity,Verbosity-Aware Rationale Reduction: Sentence-Level Rationale Reduction for Efficient and Effective Reasoning,True,False,True,Findings
abolghasemi-etal-2025-evaluation,Evaluation of Attribution Bias in Generator-Aware Retrieval-Augmented Large Language Models,True,False,True,Findings
xu-etal-2025-diagnosing,Diagnosing Failures in Large Language Models' Answers: Integrating Error Attribution into Evaluation Framework,True,False,True,Findings
ye-etal-2025-input,Can Input Attributions Explain Inductive Reasoning in In-Context Learning?,True,False,True,Findings
song-etal-2025-rationale,Does Rationale Quality Matter? Enhancing Mental Disorder Detection via Selective Reasoning Distillation,True,True,True,Findings
lu-etal-2025-wasa,{WASA}: {WA}termark-based Source Attribution for Large Language Model-Generated Data,False,False,False,Findings
zhou-etal-2025-llms,Are {LLM}s Rational Investors? A Study on the Financial Bias in {LLM}s,False,False,False,Findings
wongkamjan-etal-2025-trust,Should {I} Trust You? Detecting Deception in Negotiations using Counterfactual {RL},False,False,False,Findings
kim-etal-2025-expert,{EXPERT}: An Explainable Image Captioning Evaluation Metric with Structured Explanations,True,False,True,Findings
yu-etal-2025-training,Training Language Model to Critique for Better Refinement,False,False,False,Findings
cao-etal-2025-rationalize,Rationalize and Align: Enhancing Writing Assistance with Rationale via Self-Training for Improved Alignment,False,False,True,Findings
zhang-etal-2025-mprf,{MPRF}: Interpretable Stance Detection through Multi-Path Reasoning Framework,True,False,True,EMNLP
peng-etal-2025-emotion,Emotion Transfer with Enhanced Prototype for Unseen Emotion Recognition in Conversation,False,False,False,EMNLP
xu-etal-2025-training,Training a Utility-based Retriever Through Shared Context Attribution for Retrieval-Augmented Language Models,True,False,True,EMNLP
diao-etal-2025-protovqa,{P}roto{VQA}: An Adaptable Prototypical Framework for Explainable Fine-Grained Visual Question Answering,True,False,True,EMNLP
polyakov-etal-2025-interpretability,Interpretability Analysis of Arithmetic In-Context Learning in Large Language Models,True,False,True,EMNLP
wright-etal-2025-unstructured,Unstructured Evidence Attribution for Long Context Query Focused Summarization,True,False,True,EMNLP
yang-etal-2025-unveiling,Unveiling Internal Reasoning Modes in {LLM}s: A Deep Dive into Latent Reasoning vs. Factual Shortcuts with Attribute Rate Ratio,True,False,True,EMNLP
wang-etal-2025-unleashing,Unleashing the Reasoning Potential of {LLM}s by Critique Fine-Tuning on One Problem,False,False,False,EMNLP
yan-etal-2025-trust,{TRUST}-{VL}: An Explainable News Assistant for General Multimodal Misinformation Detection,False,False,True,EMNLP
xu-etal-2025-tree,Tree-of-Quote Prompting Improves Factuality and Attribution in Multi-Hop and Medical Reasoning,True,False,True,EMNLP
wang-etal-2025-identification,Identification of Multiple Logical Interpretations in Counter-Arguments,False,False,False,EMNLP
cai-etal-2025-flightgpt,{F}light{GPT}: Towards Generalizable and Interpretable {UAV} Vision-and-Language Navigation with Vision-Language Models,False,False,True,EMNLP
zhang-wan-2025-r,{R}-Bind: Unified Enhancement of Attribute and Relation Binding in Text-to-Image Diffusion Models,False,False,False,EMNLP
dehghanighobadi-etal-2025-llms,Can {LLM}s Explain Themselves Counterfactually?,True,False,True,EMNLP
rair-etal-2025-annotators,"When Annotators Disagree, Topology Explains: Mapper, a Topological Tool for Exploring Text Embedding Geometry and Ambiguity",False,False,True,EMNLP
wang-atanasova-2025-self,Self-Critique and Refinement for Faithful Natural Language Explanations,True,False,True,EMNLP
tutek-etal-2025-measuring,Measuring Chain of Thought Faithfulness by Unlearning Reasoning Steps,True,False,True,EMNLP
balagansky-etal-2025-train,Train One Sparse Autoencoder Across Multiple Sparsity Budgets to Preserve Interpretability and Accuracy,True,False,True,EMNLP
yeo-etal-2025-towards,Towards Faithful Natural Language Explanations: A Study Using Activation Patching in Large Language Models,True,False,True,EMNLP
ong-etal-2025-deriving,Deriving Strategic Market Insights with Large Language Models: A Benchmark for Forward Counterfactual Generation,False,False,False,EMNLP
yang-etal-2025-faithun,{F}aith{U}n: Toward Faithful Forgetting in Language Models by Investigating the Interconnectedness of Knowledge,True,False,True,EMNLP
zhai-etal-2025-mentalglm,{M}ental{GLM} Series: Explainable Large Language Models for Mental Health Analysis on {C}hinese Social Media,True,False,True,EMNLP
calabrese-etal-2025-compositional,Compositional Generalisation for Explainable Hate Speech Detection,False,False,False,EMNLP
storks-etal-2025-transparent,Transparent and Coherent Procedural Mistake Detection,True,False,True,EMNLP
wang-etal-2025-qcrd,{QCRD}: Quality-guided Contrastive Rationale Distillation for Large Language Models,True,False,True,EMNLP
calderon-etal-2025-multi,Multi-Domain Explainability of Preferences,True,False,True,EMNLP
zhao-iii-2025-necessary,A Necessary Step toward Faithfulness: Measuring and Improving Consistency in Free-Text Explanations,True,False,True,EMNLP
sun-etal-2025-thinkedit,{T}hink{E}dit: Interpretable Weight Editing to Mitigate Overly Short Thinking in Reasoning Models,False,False,True,EMNLP
liu-etal-2025-pychoagent,{P}ycho{A}gent: Psychology-driven {LLM} Agents for Explainable Panic Prediction on Social Media during Sudden Disaster Events,True,False,True,EMNLP
wang-etal-2025-v,{V}-{SEAM}: Visual Semantic Editing and Attention Modulating for Causal Interpretability of Vision-Language Models,True,False,True,EMNLP
tu-etal-2025-rrinf,{RRI}nf: Efficient Influence Function Estimation via Ridge Regression for Large Language Models and Text-to-Image Diffusion Models,True,False,True,EMNLP
giloni-etal-2025-cair,{CAIR}: Counterfactual-based Agent Influence Ranker for Agentic {AI} Workflows,True,False,True,EMNLP
resck-etal-2025-explainability,Explainability and Interpretability of Multilingual Large Language Models: A Survey,False,False,True,EMNLP
guo-etal-2025-dsvd,{DSVD}: Dynamic Self-Verify Decoding for Faithful Generation in Large Language Models,False,False,False,EMNLP
zhao-etal-2025-lga,{LGA}: {LLM}-{GNN} Aggregation for Temporal Evolution Attribute Graph Prediction,False,False,False,EMNLP
yuan-etal-2025-mmag,{MMAG}: Multimodal Learning for Mucus Anomaly Grading in Nasal Endoscopy via Semantic Attribute Prompting,False,False,True,EMNLP
lee-etal-2025-interpretation,Interpretation Meets Safety: A Survey on Interpretation Methods and Tools for Improving {LLM} Safety,False,False,True,EMNLP
xie-etal-2025-rd,{RD}-{MCSA}: A Multi-Class Sentiment Analysis Approach Integrating In-Context Classification Rationales and Demonstrations,False,False,True,EMNLP
lee-etal-2025-localization,Does Localization Inform Unlearning? A Rigorous Examination of Local Parameter Attribution for Knowledge Unlearning in Language Models,False,False,False,EMNLP
bai-etal-2025-understanding,Understanding and Leveraging the Expert Specialization of Context Faithfulness in Mixture-of-Experts {LLM}s,False,False,True,EMNLP
opitz-etal-2025-interpretable,Interpretable Text Embeddings and Text Similarity Explanation: A Survey,False,False,True,EMNLP
suri-etal-2025-follow,Follow the Flow: Fine-grained Flowchart Attribution with Neurosymbolic Agents,True,False,True,EMNLP
estienne-etal-2025-collaborative,Collaborative Rational Speech Act: Pragmatic Reasoning for Multi-Turn Dialog,False,False,False,EMNLP
